panel,event_id,country,whr_country,legal_effective_year,reference_year,transition_year_excluded,event_time,calendar_year,life_ladder,treated_change_from_ref,donor_mean_change_from_ref,donor_adjusted_gap,donor_n,period
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-3,2014,6.363,-0.14999999999999947,0.008863247863247844,-0.15886324786324732,117,pre
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-2,2015,6.45,-0.06299999999999972,-0.004661016949152549,-0.05833898305084717,118,pre
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-1,2016,6.513,0,0,0,121,pre
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,0,2017,6.359,-0.15399999999999991,0.0756363636363636,-0.22963636363636353,121,post
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,1,2018,6.467,-0.04600000000000026,0.11539316239316232,-0.1613931623931626,117,post
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,2,2019,6.537,0.02400000000000002,0.13310084033613429,-0.10910084033613426,119,post
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,3,2020,6.751,0.23800000000000043,0.12703061224489795,0.11096938775510248,98,post
Aproxy_WHR2023_keys_3dp,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,4,2021,6.247,-0.266,0.07784761904761903,-0.34384761904761907,105,post
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-3,2009,5.701,0.8769999999999998,0.006441860465116282,0.8705581395348835,86,pre
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-2,2010,5.937,1.1130000000000004,-0.042744897959183695,1.1557448979591842,98,pre
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-1,2011,4.824,0,0,0,109,pre
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,1,2013,6.69,1.8660000000000005,-0.1247735849056603,1.990773584905661,106,post
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,2,2014,6.165,1.3410000000000002,-0.05123364485981308,1.3922336448598132,107,post
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,3,2015,6.007,1.1829999999999998,-0.0845140186915888,1.2675140186915885,107,post
B_WHR2024_through_2022,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,4,2016,6.17,1.346,-0.08845283018867926,1.4344528301886794,106,post
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,-4,2015,7.413,0.23800000000000043,-0.1333619047619047,0.3713619047619051,105,pre
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,-3,2016,7.245,0.07000000000000028,-0.13322115384615382,0.2032211538461541,104,pre
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,-2,2017,7.415,0.2400000000000002,-0.06118518518518519,0.3011851851851854,108,pre
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,-1,2018,7.175,0,0,0,109,pre
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,1,2020,7.025,-0.14999999999999947,-0.009148514851485117,-0.14085148514851434,101,post
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,2,2021,6.939,-0.23599999999999977,-0.04639814814814817,-0.1896018518518516,108,post
B_WHR2024_through_2022,CAN_EW2019,Canada,Canada,2019,2018,2019,3,2022,6.918,-0.2569999999999997,-0.049261682242990594,-0.20773831775700907,107,post
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,-2,2006,4.56,-0.3030000000000008,-0.1538909090909092,-0.14910909090909163,55,pre
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,-1,2007,4.863,0,0,0,77,pre
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,0,2008,4.846,-0.017000000000000348,-0.029140845070422597,0.012140845070422249,71,post
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,1,2009,4.454,-0.4090000000000007,0.036705882352941185,-0.4457058823529419,68,post
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,2,2010,4.653,-0.21000000000000085,0.0063802816901408176,-0.21638028169014167,71,post
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,3,2011,5.037,0.1739999999999995,0.021815789473684198,0.15218421052631528,76,post
B_WHR2024_through_2022,CHN_EW2009,China,China,2008,2007,,4,2012,5.095,0.23199999999999932,-0.009666666666666667,0.24166666666666597,75,post
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,-3,2007,5.821,0.3879999999999999,-0.04427142857142857,0.4322714285714285,70,pre
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,-1,2009,5.433,0,0,0,86,pre
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,0,2010,5.596,0.16300000000000026,0.008437499999999942,0.15456250000000032,80,post
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,1,2011,5.385,-0.04800000000000004,-0.013750000000000014,-0.03425000000000003,84,post
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,2,2012,6.028,0.5949999999999998,-0.06060240963855422,0.655602409638554,83,post
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,3,2013,5.885,0.45199999999999996,-0.13345121951219513,0.585451219512195,82,post
B_WHR2024_through_2022,HRV_EW2011,Croatia,Croatia,2010,2009,,4,2014,5.381,-0.0519999999999996,-0.022060240963855438,-0.029939759036144164,83,post
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-3,2007,5.104,-0.7869999999999999,-0.04427142857142857,-0.7427285714285714,70,pre
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-2,2008,5.522,-0.3689999999999998,-0.0744533333333334,-0.2945466666666664,75,pre
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-1,2009,5.891,0,0,0,85,pre
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,1,2011,4.86,-1.0309999999999997,-0.00744578313253013,-1.0235542168674696,83,post
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,2,2012,5.64,-0.25100000000000033,-0.06060240963855422,-0.1903975903614461,83,post
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,3,2013,6.126,0.23500000000000032,-0.13345121951219513,0.36845121951219545,82,post
B_WHR2024_through_2022,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,4,2014,5,-0.891,-0.022060240963855438,-0.8689397590361446,83,post
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-4,2006,6.076,-0.5090000000000003,-0.21652459016393447,-0.2924754098360659,61,pre
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-1,2009,6.585,0,0,0,85,pre
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,1,2011,6.378,-0.20699999999999985,-0.00744578313253013,-0.1995542168674697,83,post
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,2,2012,6.221,-0.3639999999999999,-0.06060240963855422,-0.30339759036144565,83,post
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,3,2013,6.48,-0.10499999999999954,-0.13345121951219513,0.02845121951219559,82,post
B_WHR2024_through_2022,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,4,2014,6.18,-0.40500000000000025,-0.022060240963855438,-0.3829397590361448,83,post
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-4,2015,6.702,-0.5410000000000004,-0.14161946902654857,-0.39938053097345183,113,pre
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-3,2016,6.967,-0.2760000000000007,-0.1402678571428571,-0.13573214285714358,112,pre
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-2,2017,7.061,-0.18200000000000038,-0.0657777777777778,-0.11622222222222259,117,pre
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-1,2018,7.243,0,0,0,118,pre
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,0,2019,7.404,0.1609999999999996,0.0052820512820513305,0.15571794871794825,117,post
B_WHR2024_through_2022,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,3,2022,7.228,-0.015000000000000568,-0.05602586206896545,0.04102586206896488,116,post
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-4,2013,6.34,-0.17300000000000004,-0.03673684210526307,-0.13626315789473697,114,pre
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-3,2014,6.363,-0.14999999999999947,0.008863247863247844,-0.15886324786324732,117,pre
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-2,2015,6.45,-0.06299999999999972,-0.004661016949152549,-0.05833898305084717,118,pre
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-1,2016,6.513,0,0,0,121,pre
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,0,2017,6.359,-0.15399999999999991,0.0756363636363636,-0.22963636363636353,121,post
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,1,2018,6.467,-0.04600000000000026,0.11539316239316232,-0.1613931623931626,117,post
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,2,2019,6.537,0.02400000000000002,0.13310084033613429,-0.10910084033613426,119,post
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,3,2020,6.751,0.23800000000000043,0.12703061224489795,0.11096938775510248,98,post
B_WHR2024_through_2022,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,4,2021,6.247,-0.266,0.07784761904761903,-0.34384761904761907,105,post
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-3,2009,5.701,0.8769999999999998,0.006441860465116282,0.8705581395348835,86,pre
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-2,2010,5.937,1.1130000000000004,-0.042744897959183695,1.1557448979591842,98,pre
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-1,2011,4.824,0,0,0,109,pre
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,1,2013,6.69,1.8660000000000005,-0.1247735849056603,1.990773584905661,106,post
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,2,2014,6.165,1.3410000000000002,-0.05123364485981308,1.3922336448598132,107,post
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,3,2015,6.007,1.1829999999999998,-0.0845140186915888,1.2675140186915885,107,post
C_WHR2024_through_2023,BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,4,2016,6.17,1.346,-0.08845283018867926,1.4344528301886794,106,post
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,-4,2015,7.413,0.23800000000000043,-0.1333619047619047,0.3713619047619051,105,pre
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,-3,2016,7.245,0.07000000000000028,-0.13322115384615382,0.2032211538461541,104,pre
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,-2,2017,7.415,0.2400000000000002,-0.06118518518518519,0.3011851851851854,108,pre
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,-1,2018,7.175,0,0,0,109,pre
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,1,2020,7.025,-0.14999999999999947,-0.009148514851485117,-0.14085148514851434,101,post
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,2,2021,6.939,-0.23599999999999977,-0.04639814814814817,-0.1896018518518516,108,post
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,3,2022,6.918,-0.2569999999999997,-0.049261682242990594,-0.20773831775700907,107,post
C_WHR2024_through_2023,CAN_EW2019,Canada,Canada,2019,2018,2019,4,2023,6.841,-0.33399999999999963,0.02949074074074078,-0.3634907407407404,108,post
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,-2,2006,4.56,-0.3030000000000008,-0.1538909090909092,-0.14910909090909163,55,pre
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,-1,2007,4.863,0,0,0,77,pre
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,0,2008,4.846,-0.017000000000000348,-0.029140845070422597,0.012140845070422249,71,post
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,1,2009,4.454,-0.4090000000000007,0.036705882352941185,-0.4457058823529419,68,post
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,2,2010,4.653,-0.21000000000000085,0.0063802816901408176,-0.21638028169014167,71,post
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,3,2011,5.037,0.1739999999999995,0.021815789473684198,0.15218421052631528,76,post
C_WHR2024_through_2023,CHN_EW2009,China,China,2008,2007,,4,2012,5.095,0.23199999999999932,-0.009666666666666667,0.24166666666666597,75,post
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,-3,2007,5.821,0.3879999999999999,-0.04427142857142857,0.4322714285714285,70,pre
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,-1,2009,5.433,0,0,0,86,pre
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,0,2010,5.596,0.16300000000000026,0.008437499999999942,0.15456250000000032,80,post
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,1,2011,5.385,-0.04800000000000004,-0.013750000000000014,-0.03425000000000003,84,post
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,2,2012,6.028,0.5949999999999998,-0.06060240963855422,0.655602409638554,83,post
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,3,2013,5.885,0.45199999999999996,-0.13345121951219513,0.585451219512195,82,post
C_WHR2024_through_2023,HRV_EW2011,Croatia,Croatia,2010,2009,,4,2014,5.381,-0.0519999999999996,-0.022060240963855438,-0.029939759036144164,83,post
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-3,2007,5.104,-0.7869999999999999,-0.04427142857142857,-0.7427285714285714,70,pre
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-2,2008,5.522,-0.3689999999999998,-0.0744533333333334,-0.2945466666666664,75,pre
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-1,2009,5.891,0,0,0,85,pre
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,1,2011,4.86,-1.0309999999999997,-0.00744578313253013,-1.0235542168674696,83,post
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,2,2012,5.64,-0.25100000000000033,-0.06060240963855422,-0.1903975903614461,83,post
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,3,2013,6.126,0.23500000000000032,-0.13345121951219513,0.36845121951219545,82,post
C_WHR2024_through_2023,XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,4,2014,5,-0.891,-0.022060240963855438,-0.8689397590361446,83,post
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-4,2006,6.076,-0.5090000000000003,-0.21652459016393447,-0.2924754098360659,61,pre
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-1,2009,6.585,0,0,0,85,pre
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,1,2011,6.378,-0.20699999999999985,-0.00744578313253013,-0.1995542168674697,83,post
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,2,2012,6.221,-0.3639999999999999,-0.06060240963855422,-0.30339759036144565,83,post
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,3,2013,6.48,-0.10499999999999954,-0.13345121951219513,0.02845121951219559,82,post
C_WHR2024_through_2023,KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,4,2014,6.18,-0.40500000000000025,-0.022060240963855438,-0.3829397590361448,83,post
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-4,2015,6.702,-0.5410000000000004,-0.14161946902654857,-0.39938053097345183,113,pre
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-3,2016,6.967,-0.2760000000000007,-0.1402678571428571,-0.13573214285714358,112,pre
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-2,2017,7.061,-0.18200000000000038,-0.0657777777777778,-0.11622222222222259,117,pre
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,-1,2018,7.243,0,0,0,118,pre
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,0,2019,7.404,0.1609999999999996,0.0052820512820513305,0.15571794871794825,117,post
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,3,2022,7.228,-0.015000000000000568,-0.05602586206896545,0.04102586206896488,116,post
C_WHR2024_through_2023,LUX_EW2020,Luxembourg,Luxembourg,2019,2018,,4,2023,7.016,-0.2270000000000003,0.025965811965812,-0.2529658119658123,117,post
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-4,2013,6.34,-0.17300000000000004,-0.03673684210526307,-0.13626315789473697,114,pre
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-3,2014,6.363,-0.14999999999999947,0.008863247863247844,-0.15886324786324732,117,pre
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-2,2015,6.45,-0.06299999999999972,-0.004661016949152549,-0.05833898305084717,118,pre
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,-1,2016,6.513,0,0,0,121,pre
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,0,2017,6.359,-0.15399999999999991,0.0756363636363636,-0.22963636363636353,121,post
C_WHR2024_through_2023,TWN_EW2018,"Taiwan, China",Taiwan Province of China,2017,2016,,1,2018,6.467,-0.04600000000000026,0.11539316239316232,-0.1613931623931626,117,post
